No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part
1	1	BH-18650-A6AJ003	BAT1	BAT-TH_BH-18650-A5BJ003		BH-18650-A6AJ003	MYOUNG(美阳)	C5371778
2	1	4kHz	BUZZER1	BUZ-SMD_L12.0-W12.0	4kHz	SMD1230	XHXDZ(兴华鑫)	C49246959
3	6	10uF	C1,C4,C5,C18,C19,C20	C0603	10uF	CL10A106MA8NRNC	SAMSUNG(三星)	C96446
4	5	100nF	C2,C6,C13,C14,C17	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663
5	2	1uF	C3,C21	C0603	1uF	CL10A105KO8NNNC	SAMSUNG(三星)	C1592
6	2	15pF	C7,C8	C0603	15pF	CC0603JRNPO9BN150	YAGEO(国巨)	C107037
7	2	180pF	C9,C10	C0603	180pF	CC0603JRNPO9BN181	YAGEO(国巨)	C107041
8	2	10pF	C11,C12	C0603	10pF	CC0603JRNPO9BN100	YAGEO(国巨)	C106245
9	2	47pF	C15,C16	C0603	47pF	CC0603JRNPO9BN470	YAGEO(国巨)	C105622
10	1	470nF	C22	C0603	470nF	CL10B474KA8NNNC	SAMSUNG(三星)	C1623
11	1	220pF	C23	C0603	220pF	CL10B221KB8NNNC	SAMSUNG(三星)	C1603
12	2	PJ-3200	CN1,CN2	AUDIO-TH_PJ-3200		PJ-3200	XKB Connection(中国星坤)	C2689690
13	1	SS14	D1	SMA_L4.2-W2.6-LS5.0-RD_1		SS14	MDD(辰达半导体)	C2480
14	1	TPMEG2005EB	D2	SOD-523_L1.2-W0.8-LS1.6-RD-2		TPMEG2005EB	TECH PUBLIC(台舟)	C47117627
15	1	USBLC6-2SC6	D3	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		USBLC6-2SC6	ST(意法半导体)	C7519
16	1	B2B-XH-A(LF)(SN)	H4	CONN-TH_B2B-XH-A-LF-SN		B2B-XH-A(LF)(SN)	JST	C158012
17	4	B3F-4055	KEY1,KEY2,KEY3,KEY4	KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH		B3F-4055	OMRON(欧姆龙)	C84931
18	2	2.2uH	L1,L2	L0603	2.2uH	LQM18PN2R2MFRL	muRata(村田)	C337910
19	1	4.7uH	L3	IND-SMD_L3.0-W3.0-1	4.7uH	ANR3015T4R7M	APV(爱普微)	C7427089
20	1	KT-0805G	LED1	LED0805-R-RD		KT-0805G	KENTO	C2297
21	1	LTST-C170TBKT	LED2	LED0805-RD_BLUE		LTST-C170TBKT	LITEON(光宝)	C98222
22	1	FPC-05F-24PH20	OLED1	FPC-SMD_24P-P0.50_FPC-05F-24PH20		FPC-05F-24PH20	XUNPU(讯普)	C2856805
23	1	FS8205A	Q5	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR		FS8205A	FUXINSEMI(富芯森美)	C908265
24	2	AO3401A	Q7,Q9	SOT-23_L2.9-W1.3-P1.90-LS2.4-BR		AO3401A	AOS	C15127
25	9	10kΩ	R1,R2,R7,R15,R19,R20,R24,R25,R28	R0805	10kΩ	SCR0805F10K	VO(翔胜)	C3016734
26	3	5.1kΩ	R8,R9,R16	R0603	5.1kΩ	0603WAF5101T5E	UNI-ROYAL(厚声)	C23186
27	1	1.2kΩ	R10	R0603	1.2kΩ	WR06X122JTL	Walsin(华新科)	C168366
28	3	1kΩ	R11,R12,R14	R0603	1kΩ	WR06X102JTL	Walsin(华新科)	C384295
29	1	100Ω	R13	R0603	100Ω	RC0603FR-07100RL	YAGEO(国巨)	C105588
30	1	820Ω	R17	R0603	820Ω	FRC0603F8200TS	FOJAN(富捷)	C2907071
31	1	910kΩ	R21	R0603	910kΩ	0603WAF9103T5E	UNI-ROYAL(厚声)	C23263
32	1	13.3kΩ	R26	R0603	13.3kΩ	0603WAF1332T5E	UNI-ROYAL(厚声)	C25952
33	1	120kΩ	R27	R0603	120kΩ	0603WAF1203T5E	UNI-ROYAL(厚声)	C25808
34	1	AP7366-33W5-7	U1	SOT-25_L3.0-W1.6-P0.95-LS2.8-BL		AP7366-33W5-7	DIODES(美台)	C526385
35	1	2.4GHz	U2	BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB	2.4GHz	ESP32-C3-WROOM-02-N4	ESPRESSIF(乐鑫)	C2934560
36	1	TP4056-42-ESOP8	U6	ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP		TP4056-42-ESOP8	TOPPOWER(南京拓微)	C16581
37	1	DW01A	U7	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		DW01A	PUOLOP(迪浦)	C351410
38	1	13.56MHz	U10	QFN-32_L5.0-W5.0-P0.50-TL-EP3.1	13.56MHz	MFRC522	JSMSEMI(杰盛微)	C2760772
39	1	BQ27421YZFR-G1A	U12	DSBGA-9_L1.5-W1.5-R3-C3-P0.50-BL		BQ27421YZFR-G1A	TI(德州仪器)	C139621
40	1	AP3012KTR-E1	U13	TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR		AP3012KTR-E1	DIODES(美台)	C460356
41	1	TYPE-C 16PIN 2MD(073)	USB1	USB-C-SMD_TYPE-C-6PIN-2MD-073		TYPE-C 16PIN 2MD(073)	SHOU HAN(首韩)	C2765186
42	1	27.12MHz	X1	CRYSTAL-SMD_4P-L3.2-W2.5-BL	27.12MHz	X32252712MSB4SI	YXC(扬兴晶振)	C70591
